date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:23	30983/30983	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-7907%22	http://amovie.gozha.net/gallery-two.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/gallery-two.html	(from http://amovie.gozha.net/index.html)
23:59:23	38812/38812	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-979c%22	http://amovie.gozha.net/news-left.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/news-left.html	(from http://amovie.gozha.net/index.html)
23:59:23	38853/38853	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-97c5%22	http://amovie.gozha.net/news-right.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/news-right.html	(from http://amovie.gozha.net/index.html)
23:59:24	28819/28819	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-7093%22	http://amovie.gozha.net/news-full.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/news-full.html	(from http://amovie.gozha.net/index.html)
23:59:24	50918/50918	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-c6e6%22	http://amovie.gozha.net/single-page-left.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/single-page-left.html	(from http://amovie.gozha.net/index.html)
23:59:24	51311/51311	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-c86f%22	http://amovie.gozha.net/single-page-right.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/single-page-right.html	(from http://amovie.gozha.net/index.html)
23:59:25	41926/41926	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-a3c6%22	http://amovie.gozha.net/single-page-full.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/single-page-full.html	(from http://amovie.gozha.net/index.html)
23:59:25	2104/2104	---M--	200	added ('OK')	image/png	etag:%2258a5978f-838%22	http://amovie.gozha.net/images/client-photo/auth.png	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/client-photo/auth.png	(from http://amovie.gozha.net/index.html)
23:59:27	3786/3786	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2008%20Dec%202019%2017:59:27%20GMT	http://amovie.gozha.net/video/TravelIs.webm	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/video/TravelIs.webm	(from http://amovie.gozha.net/index.html)
23:59:28	3786/3786	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2008%20Dec%202019%2017:59:28%20GMT	http://amovie.gozha.net/video/TravelIs.ogv	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/video/TravelIs.ogv	(from http://amovie.gozha.net/index.html)
23:59:43	140810/140810	---M--	200	added ('OK')	image/jpeg	etag:%2258a59796-2260a%22	http://amovie.gozha.net/images/slides/first-slide.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/slides/first-slide.jpg	(from http://amovie.gozha.net/index.html)
23:59:49	30600/30600	---M--	200	added ('OK')	image/jpeg	etag:%2258a59793-7788%22	http://amovie.gozha.net/images/movie/movie-sample1.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-sample1.jpg	(from http://amovie.gozha.net/index.html)
23:59:53	21265/21265	---M--	200	added ('OK')	image/jpeg	etag:%2258a59793-5311%22	http://amovie.gozha.net/images/movie/movie-sample2.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-sample2.jpg	(from http://amovie.gozha.net/index.html)
23:59:58	178023/178023	---M--	200	added ('OK')	image/jpeg	etag:%2258a59796-2b767%22	http://amovie.gozha.net/images/slides/next-slide.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/slides/next-slide.jpg	(from http://amovie.gozha.net/index.html)
23:59:58	30385/30385	---M--	200	added ('OK')	image/jpeg	etag:%2258a59793-76b1%22	http://amovie.gozha.net/images/movie/movie-sample3.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-sample3.jpg	(from http://amovie.gozha.net/index.html)
00:00:01	17382/17382	---M--	200	added ('OK')	image/jpeg	etag:%2258a59793-43e6%22	http://amovie.gozha.net/images/movie/movie-sample4.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-sample4.jpg	(from http://amovie.gozha.net/index.html)
00:00:03	30745/30745	---M--	200	added ('OK')	image/jpeg	etag:%2258a59793-7819%22	http://amovie.gozha.net/images/movie/movie-sample5.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-sample5.jpg	(from http://amovie.gozha.net/index.html)
00:00:05	15008/15008	---M--	200	added ('OK')	image/jpeg	etag:%2258a59793-3aa0%22	http://amovie.gozha.net/images/movie/movie-sample6.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-sample6.jpg	(from http://amovie.gozha.net/index.html)
00:00:06	17324/17324	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-43ac%22	http://amovie.gozha.net/images/movie/movie-time8.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time8.jpg	(from http://amovie.gozha.net/index.html)
00:00:09	22327/22327	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-5737%22	http://amovie.gozha.net/images/movie/movie-time1.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time1.jpg	(from http://amovie.gozha.net/index.html)
00:00:10	293056/293056	---M--	200	added ('OK')	image/jpeg	etag:%2258a5978d-478c0%22	http://amovie.gozha.net/images/bg-video.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/bg-video.jpg	(from http://amovie.gozha.net/index.html)
00:00:11	27892/27892	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-6cf4%22	http://amovie.gozha.net/images/movie/movie-time9.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time9.jpg	(from http://amovie.gozha.net/index.html)
00:00:14	14555/14555	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-38db%22	http://amovie.gozha.net/images/movie/movie-time12.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time12.jpg	(from http://amovie.gozha.net/index.html)
00:00:14	31404/31404	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-7aac%22	http://amovie.gozha.net/images/movie/movie-time10.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time10.jpg	(from http://amovie.gozha.net/index.html)
00:00:14	23439/23439	---M--	200	added ('OK')	image/jpeg	etag:%2258a59794-5b8f%22	http://amovie.gozha.net/images/movie/movie-time11.jpg	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/images/movie/movie-time11.jpg	(from http://amovie.gozha.net/index.html)
